Afrikaans - South Africa;436;1078;;Maandag;Dinsdag;Woensdag;Donderdag;Vrydag;Saterdag;Sondag;;Januarie;Februarie;Maart;April;Mei;Junie;Julie;Augustus;September;Oktober;November;Desember
Albanian - Albania;041c;1052;;e hënë;e martë;e mërkurë;e enjte;e premte;e shtunë;e diel;;Janar;Shkurt;Mars;Prill;Maj;Qershor;Korrik;Gusht;Shtator;Tetor;Nëntor;Dhjetor
Alsatian;484;1156;;Manti;Zischti;Mettwuch;Dunnerschti;Friti;Sàmschti;Sundi;;Jänner;Feverje;März;Àpril;Mai;Jüni;Jüli;Augscht;September;Oktower;Nowember;Dezember
Basque;042d;1069;;astelehena;asteartea;asteazkena;osteguna;ostirala;larunbata;igandea;;urtarrila;Otsaila;Martxoa;Apirila;Maiatza;Ekaina;Uztaila;Abuztua;Iraila;Urria;Azaroa;Abendua
Bosnian (Bosnia/Herzegovina);141A;5146;;ponedjeljak;utorak;srijeda;etvrtak;petak;subota;nedjelja;;januar;februar;mart;april;maj;juni;juli;august;septembar;oktobar;novembar;decembar
Catalan;403;1027;;dilluns;dimarts;dimecres;dijous;divendres;dissabte;diumenge;;gener;febrer;març;abril;maig;juny;juliol;agost;setembre;octubre;novembre;desembre
Corsican;483;1155;;luni;marti;mercuri;ghjovi;venneri;sabbatu;dumenica;;ghjennaghju;ferraghju;marzu;aprile;maghju;ghjunghju;lugliu;aostu;settembre;ottobre;nuvembre;dicembre
Danish;406;1030;;mandag;tirsdag;onsdag;torsdag;fredag;lørdag;søndag;;januar;februar;marts;april;maj;juni;juli;august;september;oktober;november;december
Dutch - Netherlands;413;1043;;maandag;dinsdag;woensdag;donderdag;vrijdag;zaterdag;zondag;;januari;februari;maart;april;mei;juni;juli;augustus;september;oktober;november;december
Dutch - Belgium;813;2067;;maandag;dinsdag;woensdag;donderdag;vrijdag;zaterdag;zondag;;januari;februari;maart;april;mei;juni;juli;augustus;september;oktober;november;december
Edo;466;1126;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - United States;409;1033;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - United Kingdom;809;2057;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - Australia;0c09;3081;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - Belize;2809;10249;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - Canada;1009;4105;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - Caribbean;2409;9225;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - Hong Kong SAR;3c09;15369;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - India;4009;16393;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - Indonesia;3809;14345;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - Ireland;1809;6153;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - Jamaica;2009;8201;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - Malaysia;4409;17417;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - New Zealand;1409;5129;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - Philippines;3409;13321;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - Singapore;4809;18441;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - South Africa;1c09;7177;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - Trinidad;2c09;11273;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
English - Zimbabwe;3009;12297;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
Estonian;425;1061;;esmaspäev;teisipäev;kolmapäev;neljapäev;reede;laupäev;pühapäev;;jaanuar;veebruar;märts;aprill;mai;juuni;juuli;august;september;oktoober;november;detsember
Faroese;438;1080;;mánadagur;týsdagur;mikudagur;hósdagur;fríggjadagur;leygardagur;sunnudagur;;januar;februar;mars;apríl;mai;juni;juli;august;september;oktober;november;desember
Filipino;464;1124;;Lunes;Martes;Miyerkules;Huwebes;Biyernes;Sabado;Linggo;;Enero;Pebrero;Marso;Abril;Mayo;Hunyo;Hulyo;Agosto;Setyembre;Oktubre;Nobyembre;Disyembre
Finnish;040b;1035;;maanantai;tiistai;keskiviikko;torstai;perjantai;lauantai;sunnuntai;;tammikuu;helmikuu;maaliskuu;huhtikuu;toukokuu;kesäkuu;heinäkuu;elokuu;syyskuu;lokakuu;marraskuu;joulukuu
French - France;040c;1036;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Belgium;080c;2060;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Cameroon;2c0c;11276;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Canada;0c0c;3084;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Democratic Rep. of Congo;240c;9228;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Cote d'Ivoire;300c;12300;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Haiti;3c0c;15372;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Luxembourg;140c;5132;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Mali;340c;13324;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Monaco;180c;6156;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Morocco;380c;14348;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - North Africa;e40c;58380;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
